beneficiaria_id;beneficiaria_nome;id;secretaria_id;secretaria_sigla;valor_recurso;valor_repasse;ano_recurso;beneficiaria_nome_norm;match_name;match_cnpj;match_type;score;cd_natureza_juridica;natureza_juridica_desc
6;SANTOS CONVENTION & VISITORS BUREAU;1778;20;SETUR;280171,46;23347,62;2022;SANTOS CONVENTION & VISITORS BUREAU;SANTOS CONVENTION & VISITORS BUREAU;5046291000172,0;Exact;1,0;3999,0;Associacao Privada
457;INSTITUIÇÃO DE ASSISTÊNCIA À CRIANÇA PROFESSORA EDNA SOUZA - IACPES;1885;12;SEDUC;916395,98;218189,52;2022;INSTITUICAO DE ASSISTENCIA A CRIANCA PROFESSORA EDNA SOUZA - IACPES;INSTITUICAO DE ASSISTENCIA A CRIANCA PROFESSORA EDNA SOUZA - I. A. C. P. E. S.;5336537000140,0;Fuzzy;0,9241379310344827;3999,0;Associacao Privada
188;CENTRO ESPÍRITA BENEFICENTE 30 DE JULHO;1890;19;SEDS;122096,72;9335,47;2022;CENTRO ESPIRITA BENEFICENTE 30 DE JULHO;CENTRO ESPIRITA BENEFICENTE 30 DE JULHO;58198128000191,0;Exact;1,0;3999,0;Associacao Privada
93;ASSISTÊNCIA À INFÂNCIA DE SANTOS GOTA DE LEITE;1909;12;SEDUC;1465650,9;348964,5;2022;ASSISTENCIA A INFANCIA DE SANTOS GOTA DE LEITE;ASSISTENCIA A INFANCIA DE SANTOS GOTA DE LEITE;58222910000107,0;Exact;1,0;3999,0;Associacao Privada
92;ASPPE - PESQUISA PREVENÇÃO E EDUCAÇÃO;1925;19;SEDS;31518,13;31518,13;2022;ASPPE - PESQUISA PREVENCAO E EDUCACAO;ASPPE - PESQUISA PREVENCAO E EDUCACAO;71554695000100,0;Exact;1,0;3999,0;Associacao Privada
496;SPDM - ASSOCIAÇÃO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;1930;13;SMS;18048546,65;2172589,12;2022;SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;61699567008843,0;Exact;1,0;3999,0;Associacao Privada
202;EDUCANDÁRIO ANÁLIA FRANCO;1947;19;SEDS;405969,18;15333,78;2022;EDUCANDARIO ANALIA FRANCO;EDUCANDARIO ANALIA FRANCO;58225905000220,0;Exact;1,0;3999,0;Associacao Privada
202;EDUCANDÁRIO ANÁLIA FRANCO;1985;12;SEDUC;1661727,19;395649,33;2022;EDUCANDARIO ANALIA FRANCO;EDUCANDARIO ANALIA FRANCO;58225905000220,0;Exact;1,0;3999,0;Associacao Privada
14;LIGA BENEFICENTE NOSSA SENHORA DA DIVINA PROVIDÊNCIA;1987;12;SEDUC;1044303,12;248643,6;2022;LIGA BENEFICENTE NOSSA SENHORA DA DIVINA PROVIDENCIA;LIGA BENEFICENTE NOSSA SENHORA DA DIVINA PROVIDENCIA;58259763000131,0;Exact;1,0;3999,0;Associacao Privada
203;EDUCANDÁRIO SANTISTA;2005;19;SEDS;688698,72;46888,13;2022;EDUCANDARIO SANTISTA;EDUCANDARIO SANTISTA;58247503000146,0;Exact;1,0;3999,0;Associacao Privada
