cnpj;ano;url_principal;propria_servico;propria_doacao_mensalidade;privada_doacao_parceria;privada_doacao_even;publica_parceria;internacional_privada;internacional_publica
71.545.636/0001-67;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/92167/RelatorioCircunstanciado.html;0,00%;4,78%;56,23%;10,88%;28,11%;0,00%;0,00%
58.207.572/0001-26;2010;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/93282/RelatorioCircunstanciado.html;99,06%;%;%;%;0,94%;%;%
58.413.451/0001-30;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/115768/RelatorioCircunstanciado.html;%;%;100,00%;0,00%;%;%;%
58.167.032/0001-66;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/96999/RelatorioCircunstanciado.html;%;23,00%;%;%;77,00%;0,00%;0,00%
58.251.711/0001-19;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/18383/RelatorioCircunstanciado.html;100,00%;%;%;%;%;%;%
58.198.128/0001-91;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/18388/RelatorioCircunstanciado.html;1,57%;1,07%;3,35%;6,35%;87,66%;%;0,00%
58.232.521/0001-54;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/98919/RelatorioCircunstanciado.html;97,00%;%;%;0,00%;3,00%;%;%
58.198.128/0001-91;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/98970/RelatorioCircunstanciado.html;0,20%;4,29%;5,88%;5,90%;83,73%;%;0,00%
58.198.227/0001-73;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/98993/RelatorioCircunstanciado.html;16,57%;0,03%;31,30%;0,00%;52,10%;0,00%;0,00%
58.225.905/0001-40;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99175/RelatorioCircunstanciado.html;45,89%;30,46%;%;%;23,65%;%;%
60.015.070/0001-45;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99354/RelatorioCircunstanciado.html;0,00%;21,00%;0,00%;13,00%;66,00%;0,00%;0,00%
58.222.878/0001-51;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99711/RelatorioCircunstanciado.html;%;76,08%;0,00%;0,00%;23,92%;0,00%;0,00%
64.715.899/0001-01;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/99990/RelatorioCircunstanciado.html;%;%;27,00%;3,00%;70,00%;0,00%;%
55.674.980/0001-08;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/100128/RelatorioCircunstanciado.html;0,00%;51,00%;15,00%;18,00%;16,00%;0,00%;%
46.781.142/0001-34;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/100372/RelatorioCircunstanciado.html;%;74,00%;%;0,00%;26,00%;%;%
58.218.207/0001-17;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/116448/RelatorioCircunstanciado.html;13,27%;51,82%;0,00%;3,45%;31,46%;0,00%;0,00%
58.207.572/0001-26;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101058/RelatorioCircunstanciado.html;93,67%;%;%;%;6,33%;%;%
58.236.456/0001-35;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101126/RelatorioCircunstanciado.html;70,00%;5,00%;2,00%;8,00%;15,00%;%;%
58.218.215/0001-63;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101299/RelatorioCircunstanciado.html;39,52%;1,17%;0,00%;2,37%;56,94%;0,00%;0,00%
58.222.910/0001-07;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/101906/RelatorioCircunstanciado.html;%;52,42%;0,07%;0,00%;47,51%;0,00%;%
46.170.494/0001-53;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/102207/RelatorioCircunstanciado.html;27,90%;5,38%;%;0,00%;66,72%;0,00%;%
58.252.602/0001-16;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/102343/RelatorioCircunstanciado.html;40,00%;60,00%;%;%;%;%;%
58.224.692/0001-31;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/102410/RelatorioCircunstanciado.html;0,00%;18,25%;0,00%;7,35%;74,40%;0,00%;0,00%
68.018.050/0001-30;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/103555/RelatorioCircunstanciado.html;20,74%;0,00%;0,00%;0,00%;79,26%;0,00%;%
62.292.420/0001-46;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104019/RelatorioCircunstanciado.html;19,02%;6,70%;0,00%;1,87%;72,41%;0,00%;0,00%
55.674.782/0001-36;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104181/RelatorioCircunstanciado.html;0,00%;14,57%;%;2,01%;83,42%;0,00%;%
58.247.503/0001-46;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104292/RelatorioCircunstanciado.html;23,52%;0,40%;1,19%;2,63%;72,26%;0,00%;0,00%
58.253.667/0001-86;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/104449/RelatorioCircunstanciado.html;71,63%;0,03%;0,00%;0,13%;28,21%;0,00%;%
71.550.222/0001-26;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105044/RelatorioCircunstanciado.html;%;%;%;%;%;%;%
62.292.073/0001-51;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105358/RelatorioCircunstanciado.html;55,00%;30,00%;10,00%;5,00%;0,00%;%;%
58.251.711/0001-19;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105392/RelatorioCircunstanciado.html;100,00%;%;%;%;%;%;%
52.246.451/0001-07;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105595/RelatorioCircunstanciado.html;52,00%;11,00%;0,00%;12,00%;25,00%;0,00%;0,00%
58.219.551/0001-20;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105695/RelatorioCircunstanciado.html;0,00%;52,00%;0,00%;36,00%;12,00%;0,00%;0,00%
58.230.293/0001-83;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/105762/RelatorioCircunstanciado.html;%;4,25%;0,46%;9,97%;85,32%;0,00%;0,00%
58.198.524/0001-19;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/106322/RelatorioCircunstanciado.html;97,55%;%;0,00%;0,95%;1,50%;%;%
10.227.433/0001-38;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/117252/RelatorioCircunstanciado.html;5,00%;%;95,00%;0,00%;0,00%;%;%
15.321.633/0001-79;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/106753/RelatorioCircunstanciado.html;0,00%;6,74%;0,00%;65,20%;28,06%;0,00%;0,00%
58.263.898/0001-70;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/107304/RelatorioCircunstanciado.html;0,00%;52,00%;%;%;48,00%;%;%
