cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;cd_natureza_juridica_osc;dt_fundacao_osc;situacao_cadastral;tx_endereco_completo;cd_municipio;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social;Area_Associacoes_patronais_e_profissionais;Area_Cultura_e_recreacao;Area_Desenvolvimento_e_defesa_de_direitos_e_interesses;Area_Educacao_e_pesquisa;Area_Outras_atividades_associativas;Area_Religiao;Area_Saude;SubArea_Assistencia_social;SubArea_Associacoes_de_atividades_nao_especificadas_anteriormente;SubArea_Associacoes_de_produtores_rurais_pescadores_e_similares;SubArea_Associacoes_empresariais_e_patronais;SubArea_Associacoes_profissionais;SubArea_Atividades_de_apoio_a_educacao;SubArea_Cultura_e_arte;SubArea_Desenvolvimento_e_defesa_de_direitos;SubArea_Educacao_infantil;SubArea_Educacao_profissional;SubArea_Ensino_fundamental;SubArea_Ensino_superior;SubArea_Esportes_e_recreacao;SubArea_Estudos_e_pesquisas;SubArea_Hospitais;SubArea_Outras_formas_de_educacao_ensino;SubArea_Outros_servicos_de_saude;SubArea_Religiao
54322233000130;NOSSA SENHORA DE FATIMA ALIMENTACAO ASSOCIACAO;;3999;2024-01-29;Ativa;RUA UM, 3621, , MORRO SANTA MARIA, Santos, SP, 11080670;3548500.0;SANTOS;SP;-46,3777966874;-23,935166697;93298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
40813885000162;ASSOCIACAO DOS MORADORES E COMERCIANTES DA CAMPOS MELO - AMOCCAM;;3999;2021-01-18;Ativa;RUA CAMPOS MELLO272, VILA MATHIAS, Santos, SP, 11015011;3548500.0;SANTOS;SP;-46,3204086829996;-23,9467294079996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40981191000134;NOSSA SENHORA DO MONTE SERRAT ASSOCIACAO;;3999;2021-01-20;Ativa;RUA DOUTOR LOBO VIANA20, BOQUEIRAO, Santos, SP, 11045120;3548500.0;SANTOS;SP;-46,3215008989996;-23,9647466979996;93298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
46838611000104;LIONS CLUBE SANTOS PONTA DA PRAIA;;3999;1976-06-11;Ativa;AVENIDA AFONSO PENA541, APARECIDA, Santos, SP, 11020003;3548500.0;SANTOS;SP;-46,2963184969996;-23,9775572389996;94308;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58259771001400;MITRA DIOCESANA DE SANTOS;PAROQUIA DE SANTO ANTONIO DO EMBARE;3220;1970-12-15;Ativa;AVENIDA BARTOLOMEU DE GUSMAO32, EMBARE, Santos, SP, 11045400;3548500.0;SANTOS;SP;-46,3229730339996;-23,9732637339996;94910;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
58259771001664;MITRA DIOCESANA DE SANTOS;PAROQUIA SAO JOSE OPERARIO E N.SRA. DO TERCO;3220;1970-12-15;Ativa;AVENIDA CONS RODRIGUES ALVES220, MACUCO, Santos, SP, 11015200;3548500.0;SANTOS;SP;-46,3179956379996;-23,9561434079996;94910;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
68019801000132;ASSOCIACAO PROJETO TAMTAM;;3999;1992-11-13;Ativa;RUA OSWALDO CRUZ220, APT   11, BOQUEIRAO, Santos, SP, 11045101;3548500.0;SANTOS;SP;-46,3223769139996;-23,9639882029996;94936;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41977051000155;TAUPET;INSTITUTO TAUPET;3999;2021-01-29;Ativa;RUA PAULO CLEMENTE SANTINI201, MORRO NOVA CINTRA, Santos, SP, 11080160;3548500.0;SANTOS;SP;-46,3571546609996;-23,9474340769996;94995;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2837041000162;CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE;CEUBAN;3999;1996-02-23;Ativa;AVENIDA CONSELHEIRO NEBIAS, 536, , BOQUEIRAO, Santos, SP, 11045002;3548500.0;SANTOS;SP;-46,323326;-23,961949;85317;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1281150000183;IGREJA BATISTA DA PONTA DA PRAIA;;3999;1996-07-01;Ativa;RUA PROF. CARLOS ESCOBAR22, PONTA DA PRAIA, Santos, SP, 11030000;3548500.0;SANTOS;SP;-46,2999768569996;-23,9812985809996;94910;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
