match_name;match_cnpj;natureza_juridica_desc;valor_repasse
G.RECREATIVO ACADEMIA DE SAMBA UNIDOS DA ZONA NOROESTE;51652725000103,0;Associacao Privada;413000,0
ASSOCIACAO DA PARADA DO ORGULHO DE LESBICAS, GAYS, BISSEXUAIS, TRAVESTIS E TRANSGENEROS DE SANTOS;41768494000136,0;Associacao Privada;404200,0
ASSOCIACAO CULTURAL PORTO CIRCENSE;29946057000160,0;Associacao Privada;399710,0
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA ACADEMICOS BANDEIRANTES DO SABOO;7763965000185,0;Associacao Privada;391000,0
GREMIO RECREATIVO CULTURAL TORCIDA E ESCOLA DE SAMBA SANGUE JOVEM;3901825000175,0;Associacao Privada;386000,0
NOVA DIMENSAO - ORGANIZACAO DE APOIO SOCIAL, EDUCATIVO E CULTURAL AS PESSOAS COM NECESSIDADES ESPECIAIS E MINORIAS EXCLUIDAS DOS SISTEMAS COMUNS;11521682000102,0;Associacao Privada;372505,58999999997
LOJA MACONICA CIDADE DE SANTOS N 4452;55673974000128,0;Associacao Privada;351780,02
CACTOS CENTRO DE APOIO E RECUP DE DEPENDENTES DE DROGAS;34200000165,0;Associacao Privada;351000,0
GREMIO RECREATIVO E CULTURAL ESCOLA DE SAMBA MOCIDADE AMAZONENSE;51683852000242,0;Associacao Privada;350000,0
TAUPET;41977051000155,0;Associacao Privada;350000,0
BANDA MUSICAL CARLOS GOMES;44967594000180,0;Associacao Privada;342905,86000000004
INSTITUTO VIDA PLENA;20454595000162,0;Associacao Privada;300000,0
ASSOCIACAO DESPORTIVA E CULTURAL MARVEL;49783893000188,0;Associacao Privada;299925,0
GREMIO RECREATIVO E CULTURAL ESCOLA DE SAMBA IMPERIO DA VILA;4485911000107,0;Associacao Privada;298000,0
ASSOCIACAO SANTOS DE SURF;7407382000111,0;Associacao Privada;295136,0
FRATERNIDADE DE CARITAS - NUCLEO ESPIRITUAL DEUS CONDUZ;2468256000153,0;Associacao Privada;293700,0
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA CAMISA ALVINEGRA;11156093000164,0;Associacao Privada;283000,0
ASSOCIACAO PROMOCIONAL SAO JOSE;58258856000141,0;Associacao Privada;276319,0
INSTITUTO PRO-ACAO ESPORTE E MEIO AMBIENTE;29505273000170,0;Associacao Privada;259700,0
ACADEMIA SANTISTA DE LETRAS;48678387000166,0;Associacao Privada;240445,86000000002
PROJETO AMIGOS DE BRACOS ABERTO;25447615000191,0;Associacao Privada;238333,34
CASA DA VISAO;64722903000169,0;Associacao Privada;238000,04
CENTRO ESPIRITA DE UMBANDA NOSSA SENHORA DA CONCEICAO;9600898000103,0;Associacao Privada;235440,0
SOCIEDADE DE MELHORAMENTOS DA VILA SAO JORGE;49955032000130,0;Associacao Privada;230929,43
INSTITUTO ELOS BRASIL;4241216000108,0;Associacao Privada;230868,0
GREMIO RECREATIVO E CULTURAL ESCOLA DE SAMBA VILA MATHIAS;10381467000182,0;Associacao Privada;217328,0
ASSOCIACAO DE DESENVOLVIMENTO HUMANO VIVA VIDA;29505894000153,0;Associacao Privada;211816,0
ASSOCIACAO BRASILEIRA DOS ORGANIZADORES DE FESTIVAIS DE FOLCLORE E ARTES POPULARES;71545636000167,0;Associacao Privada;210000,0
ASSOCIACAO SOCIO EDUCATIVA DE ESPORTE E LAZER - ASEEL;23056251000193,0;Associacao Privada;206982,65
GRUPO ASSISTENCIAL ESPIRITA NINHO DE AMOR E LUZ;3343028000110,0;Associacao Privada;206565,0
REDE CICLE - CONVIVENCIA E INTEGRACAO POR MEIO DA CULTURA, LAZER E ESPORTE;35189566000198,0;Associacao Privada;203859,53
ONG CASA BRANCA;48747812000121,0;Associacao Privada;199734,39
GREMIO SOCIAL, ESPORTIVO E CULTURAL RONIMOTORS;27751378000183,0;Associacao Privada;198248,0
INSTITUTO ENERGIA;12068975000130,0;Associacao Privada;184967,59
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DA POMPEIA;3329385000123,0;Associacao Privada;179586,87
PROJETO SOCIAL CIPO ARTES, ARTES MARCIAIS;14693773000105,0;Associacao Privada;176065,0
INSTITUTO FACONTI;32696580000190,0;Associacao Privada;170818,75
ASSOCIACAO BENEFICENTE MAOS ENTRELACADAS;97519524000125,0;Organizacao Social (OS);170000,0
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DA CANELEIRA;51646396000180,0;Associacao Privada;161471,69
INSTITUTO ECOFAXINA - LIMPEZA, MONITORAMENTO E EDUCACAO AMBIENTAL;10735372000110,0;Associacao Privada;155404,6
ASSOCIACAO DOS MORADORES DA CANELEIRA III;2294268000109,0;Associacao Privada;153725,6
ASSOC PRO BENEFICENCIA E MELHORAMENTOS DA VILA ALEMOA;51681906000150,0;Associacao Privada;150824,39
INSTITUTO SUPERIOR DE EDUCACAO SANTA CECILIA;58251711000119,0;Associacao Privada;150000,0
JUNIOR INTERDISCIPLINAR DA UNIVERSIDADE FEDERAL DE SAO PAULO - UNIFESP/ CAMPUS BAIXADA SANTISTA;34210386000188,0;Associacao Privada;149500,0
INSTITUTO NAUTICO - BOMBORDO;13143663000107,0;Associacao Privada;147500,0
INSTITUTO INOVARE - SOLUCOES SOCIOAMBIENTAIS;33978003000153,0;Associacao Privada;141000,0
SOCIEDADE DE MELHORAMENTOS DO JARDIM BOM RETIRO;51641934000143,0;Associacao Privada;134995,07
ASSOCIACAO BRUTO FRUTO ABF;44688442000148,0;Associacao Privada;134655,87
ASSOCIACAO DE ASSISTENCIA MULTIPROFISSIONAL A ESPECIAIS FLORES DE MARIA;21504687000172,0;Associacao Privada;127030,0
ASSOC DE MORADORES PRO MELHORAM DO BAIRRO DO JD CASTELO;48670640000135,0;Associacao Privada;127029,43
ASSOCIACAO DE SAUDE SOCIOAMBIENTAL;19925754000180,0;Associacao Privada;126855,0
ASSOCIACAO COMUNIDADE DE MAOS DADAS;1385650000165,0;Associacao Privada;126178,0
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DA ENCRUZILHADA;5122859000197,0;Associacao Privada;125210,03
ONG AMIGOS DO TOBIAS;28378805000192,0;Associacao Privada;124991,67
ASSOCIACAO CULTURAL QUILOA;14126748000140,0;Associacao Privada;122650,0
ASSOCIACAO EXPRESSAO DE VIDA;5150249000105,0;Associacao Privada;119999,2
INSTITUTO EDU VARELA;43265835000186,0;Associacao Privada;115000,0
CENTRO ESPIRITA E DE CARIDADE DR LUIZ MONTEIRO DE BARROS;4058611000222,0;Associacao Privada;114981,48
CENTRO COMUN DO CONJ RESI MAL ARTUR DA COSTA E SILVA;46836433000182,0;Associacao Privada;111738,75
SOCIEDADE DE MELHORAMENTOS DO BAIRRO E MORROS JABAQUARA;54346226000178,0;Associacao Privada;108861,20999999999
ASSOCIACAO CULTURAL DOS AFRODESCENDENTES DA BAIXADA SANTISTA;5594912000152,0;Associacao Privada;105440,0
INSTITUTO MAR AZUL;17754991000109,0;Associacao Privada;105000,0
ASSOCIACAO DOS MEDICOS DESANTOS;58252347000101,0;Associacao Privada;100000,0
INSTITUTO DE ACOLHIMENTO CAES DA PRAIA;51618934000122,0;Associacao Privada;100000,0
ONG ONLY CATS;54245061000148,0;Associacao Privada;99989,27
ASSOCIACAO OSCAR KARATE-DO EDUCACIONAL;38927517000101,0;Associacao Privada;98275,94
BANDA FAMILIA DO BEM;24541667000160,0;Associacao Privada;95710,0
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DO MACUCO;2949933000155,0;Associacao Privada;95398,03
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DO MARAPE;51654101000117,0;Associacao Privada;95396,19
ASSOCIACAO DESPORTIVA E CULTURAL DE CAPOEIRA ESCOLA;7646341000188,0;Associacao Privada;95005,0
ASSOCIACAO DE APOIO AS PORTADORAS DE ENDOMETRIOSE - ENDOMULHERES BAIXADA SANTISTA;35477670000188,0;Associacao Privada;91418,0
SOCIEDADE DE MELHORAMENTOS DO MORRO DA NOVA CINTRA;51079853000100,0;Associacao Privada;85710,70999999999
GRUPO LOTUS - ASSOCIACAO PARKINSON DA BAIXADA SANTISTA;11233774000189,0;Associacao Privada;85000,0
MITRA DIOCESANA DE SANTOS;58259771005570,0;Organizacao Religiosa;82229,29000000001
ASSOCIACAO DE MORADORES DO JARDIM PIRATININGA;47984152000130,0;Associacao Privada;78641,45
SOCIEDADE DE MELHORAMENTOS, AMIGOS E MORADORES DA VILA BELMIRO;19697983000195,0;Associacao Privada;77542,56
ASSOC COMUNIT PRO MORADIA ILHEUS DA BAIXADA SANTISTA;66497157000182,0;Associacao Privada;76786,87
ASSOCIACAO INSTITUTO DE CAPACITACAO EDUCACIONAL PARA LIDERANCAS - ICEL;31280216000181,0;Organizacao Social (OS);74440,0
ASSOCIACAO DOS COMBATENTES DE 1932 - DE SANTOS;2206775000143,0;Associacao Privada;72000,0
SOCIEDADE BENEFICENTE E MELHORAMENTOS DO BAIRRO DE A B;58269424000136,0;Associacao Privada;71770,76000000001
INSTITUTO BORDALLO CULTURAL;55027985000130,0;Associacao Privada;65000,0
SOCIEDADE DE MELHORAMENTOS DOS AMIGOS DA VILA S BENTO;51652360000109,0;Associacao Privada;62157,2
MOVIMENTO DE APOIO AOS PROTETORES DE ANIMAIS E DA NATUREZA;7012405000199,0;Associacao Privada;59999,2
ASSOCIACAO CENTRO INTEGRADO PARA DESENVOLVIMENTO HUMANO;43002256000140,0;Associacao Privada;59998,0
CENTRO COMUNITARIO AMIGOS DO SAO BENTO;50493027000131,0;Associacao Privada;58532,56
SOCIEDADE DE MELHORAMENTOS DO MONTE SERRAT;51681641000190,0;Associacao Privada;55207,33
SOCIEDADE DE MELHORAMENTOS DA VILA PANTANAL;13666859000186,0;Associacao Privada;52044,31
ASSOCIACAO PATINACAO PARA TODOS - APT;42912252000137,0;Associacao Privada;51200,0
ASSOCIACAO DOS SECRETARIOS MUNICIPAIS DE ESPORTE E LAZER DO ESTADO DE SAO PAULO;41929346000237,0;Associacao Privada;50000,0
ASSOCIACAO CAMINHO DE SANTA MARIA;1248709000173,0;Associacao Privada;48744,31
SOCIEDADE DE MELHORAMENTOS DO MORRO DO JOSE MENINO;51069565000166,0;Associacao Privada;48666,4
UNIAO DOS TRIATLETAS E CORREDORES DA BAIXADA;1082479000115,0;Associacao Privada;47259,5
